Intitulé du poste,Date de publication,lieu,competences,Nom de la société,Type de contrat,Salaire minimum,Salaire maximum
data analyst,2022-12-31 00:00:00,maisons alfort,"support,sql,data management,business objects,t-sql",fed it,cdd/intérim,45000.0,50000.0
data analyst,2022-12-15 00:00:00,paris,"data management,business intelligence,bases de données",fed it,cdi,60000.0,62000.0
data scientist,2022-12-18 00:00:00,rueil malmaison,"marketing,data management,support",fed it,cdi,60000.0,65000.0
consultant,2023-01-13 00:00:00,paris,"big data,oracle,cloud,sap,python",selescope,cdi,60000.0,70000.0
chef de projet,2023-01-10 00:00:00,gennevilliers,"marketing,outils,digital,ux,mobile",hays france,cdi,60000.0,70000.0
responsable,2023-01-15 00:00:00,boulogne billancourt,"si,data management,data quality,méthodologie,outils",michael page,cdi,55000.0,60000.0
ingenieur,2022-12-17 00:00:00,suresnes,"business intelligence,crm,intelligence artificielle,système,réseau",selescope,cdi,70000.0,100000.0
developpeur,2022-12-27 00:00:00,suresnes,"intelligence artificielle,business intelligence,crm,système,réseau",selescope,cdi,70000.0,100000.0
data analyst,2023-01-14 00:00:00,rueil malmaison,"business intelligence,marketing,intelligence artificielle",fed it,cdi,35000.0,45000.0
data scientist,2022-12-17 00:00:00,paris,"machine learning,méthodologie,agile",key consulting,cdi,45000.0,70000.0
data analyst,2022-12-29 00:00:00,paris,"recette,si,big data,intelligence artificielle",mr search,cdi,50000.0,80000.0
chef de projet,2022-12-25 00:00:00,paris,agile,nexton consulting,cdi,30000.0,60000.0
data analyst,2022-12-31 00:00:00,maisons alfort,"support,sql,data management,business objects,t-sql",fed it,cdd/intérim,45000.0,50000.0
data analyst,2022-12-15 00:00:00,paris,"data management,business intelligence,bases de données",fed it,cdi,60000.0,62000.0
data scientist,2022-12-18 00:00:00,rueil malmaison,"marketing,data management,support",fed it,cdi,60000.0,65000.0
consultant,2023-01-13 00:00:00,paris,"big data,oracle,cloud,sap,python",selescope,cdi,60000.0,70000.0
chef de projet,2023-01-10 00:00:00,gennevilliers,"marketing,outils,digital,ux,mobile",hays france,cdi,60000.0,70000.0
ingenieur,2023-01-14 00:00:00,paris,"sécurité,securité,réseaux,lan,support",uniware global services,cdi,45000.0,60000.0
ingenieur,2023-01-14 00:00:00,neuilly sur seine,"devops,jenkins,outils,linux,infrastructure",uniware global services,cdi,42000.0,60000.0
ingenieur,2023-01-14 00:00:00,neuilly sur seine,"support,vmware,python,javascript,securité",uniware global services,cdi,40000.0,55000.0
