,Intitulé du poste,Date de publication,lieu,competences,Nom de la société,Type de contrat,Salaires
0,Data scientist   (H/F),"
Actualisé le 25 janvier 2023
",75 - PARIS 01,"python, agile, outils, data management, machine learning, réseaux","
ACAVI
","CDI
 - Temps plein","Salaire brut : Annuel de 55000,00 Euros à 65000,00 Euros sur 12 mois"
1,Développeur / Développeuse Big Data,"
Actualisé le 25 janvier 2023
",92 - PUTEAUX,"python, sql, test, big data, nosql, hadoop, bases de données, java, web, cloud, devops, spark","
ECENTIME
","CDI
 - Temps plein","Salaire brut : Annuel de 30000,00 Euros à 35000,00 Euros sur 12 mois"
2,Data officer  (H/F),"
Actualisé le 24 janvier 2023
",78 - VILLIERS ST FREDERIC,"test, outils, marketing","
HYVIA
","CDI
 - Temps plein","Salaire brut : Annuel de 55000,00 Euros à 65000,00 Euros sur 12 mois"
3,Consultant junior en data marketing  (H/F),"
Actualisé le 25 janvier 2023
",75 - PARIS 13,"python, sql, agile, test, outils, communication, marketing, acquisition, power bi, excel, salesforce, crm","
ACCENTURE
","CDI
 - Temps plein","Salaire brut : Annuel de 40000,00 Euros à 43000,00 Euros sur 12 mois"
4,Techniciens/technicienne en couloir thermiques data center  (H/F),"
Actualisé le 25 janvier 2023
",91 - VIRY CHATILLON,"réseaux, network","
OMARCOM
","CDI
 - Temps plein","Salaire brut : Mensuel de 1820,00 Euros à 1895,00 Euros sur 12 mois"
5,Consultant Data (H/F),"
Actualisé le 24 janvier 2023
",75 - PARIS 15,"outils, communication, git, excel","
NOVEANE
","CDI
 - Temps plein","Salaire brut : Annuel de 35000,00 Euros à 100000,00 Euros sur 12 mois"
6,Data analyst,"
Actualisé le 25 janvier 2023
",78 - MONTIGNY LE BRETONNEUX,"python, sql, agile, outils, bases de données, scrum, sql server, oracle, postgresql, cloud, qlik, tableau, qlikview","
KM CONSULTING
","CDI
 - Temps plein","Salaire brut : Annuel de 35000,00 Euros à 40000,00 Euros sur 12 mois"
7,Data Engineer H/F,"
Actualisé le 24 janvier 2023
",75 - PARIS 19,"test, outils, validation",,"CDI
 - Temps plein","Salaire brut : Mensuel de 4500,00 Euros à 5000,00 Euros sur 12 mois"
8,"Data Engineer F/H - Projets, Système, Données   (H/F)","
Actualisé le 25 janvier 2023
",75 - PARIS 08,"python, sql, outils, nosql, bases de données, cloud, devops","
ODICIS
","CDI
 - Temps plein","Salaire brut : Annuel de 23000,00 Euros à 25000,00 Euros sur 12 mois"
9,"Data Engineer F/H - Projets, Système, Données   (H/F)","
Actualisé le 25 janvier 2023
",75 - PARIS 08,"python, sql, outils, nosql, bases de données, cloud, devops","
ODICIS
","CDI
 - Temps plein","Salaire brut : Annuel de 23000,00 Euros à 25000,00 Euros sur 12 mois"
10,Data Analyste / Développeur BIG DATA Sénior (H/F),"
Actualisé le 23 janvier 2023
",75 - PARIS 15,"sql, test, big data, outils, validation, business intelligence, sap, power bi, sql server, oracle, qlik, tableau, qlikview, ios, cognos, talend, etl","
DIGILINKS
","CDI
 - Temps plein","Salaire brut : Mensuel de 40000,00 Euros à 40000,00 Euros sur 12 mois"
