Unnamed: 0,Intitulé du poste,Date de publication,lieu,competences,Nom de la société,Type de contrat,Salaires minimum,Salaires maximum
0,data scientist,2023-01-25,paris,"python, agile, outils, data management, machine learning, réseaux","
acavi
","cdi
 ",55000.0,65000.0
1,développeur  développeuse big data,2023-01-25,puteaux,"python, sql, test, big data, nosql, hadoop, bases de données, java, web, cloud, devops, spark","
ecentime
","cdi
 ",30000.0,35000.0
2,data officer ,2023-01-24,villiers st frederic,"test, outils, marketing","
hyvia
","cdi
 ",55000.0,65000.0
3,consultant,2023-01-25,paris,"python, sql, agile, test, outils, communication, marketing, acquisition, power bi, excel, salesforce, crm","
accenture
","cdi
 ",40000.0,43000.0
4,technicien,2023-01-25,viry chatillon,"réseaux, network","
omarcom
","cdi
 ",21840.0,22740.0
5,consultant,2023-01-24,paris,"outils, communication, git, excel","
noveane
","cdi
 ",35000.0,100000.0
6,data analyst,2023-01-25,montigny le bretonneux,"python, sql, agile, outils, bases de données, scrum, sql server, oracle, postgresql, cloud, qlik, tableau, qlikview","
km consulting
","cdi
 ",35000.0,40000.0
8,data engineer,2023-01-25,paris,"python, sql, outils, nosql, bases de données, cloud, devops","
odicis
","cdi
 ",23000.0,25000.0
9,data engineer,2023-01-25,paris,"python, sql, outils, nosql, bases de données, cloud, devops","
odicis
","cdi
 ",23000.0,25000.0
10,data analyst,2023-01-23,paris,"sql, test, big data, outils, validation, business intelligence, sap, power bi, sql server, oracle, qlik, tableau, qlikview, ios, cognos, talend, etl","
digilinks
","cdi
 ",40000.0,40000.0
11,manager,2023-01-25,longpont sur orge,"python, sql, outils, marketing, git, sas, power bi, tableau, crm","
az consulting
","cdi
 ",65000.0,72000.0
12,data analyst,2023-01-25,paris,"excel, ios","
sintel
","cdi
 ",36000.0,40000.0
13,chargé.e de production  mise en réseau data ,2023-01-25,champs sur marne,"communication, support, réseaux","
rhon'telecom
","cdi
 ",28000.0,34000.0
15,data analyst,2023-01-17,boulogne billancourt,"outils, business intelligence, acquisition, power bi, tableau, moe, moa, excel, crm","
accenta
","cdi
 ",45000.0,55000.0
16,data analyst,2023-01-26,neuilly sur seine,"python, communication, acquisition, tableau, excel, ios","
pricewaterhousecoopers advisory
","cdi
 ",40500.0,48000.0
17,data analyst,2023-01-26,puteaux,"communication, réseaux, excel, crm","
data swing
","intérim
 ",45000.0,55000.0
18,data analyst,2023-01-25,paris,"sql, communication, bases de données, power bi, tableau, vba, excel, salesforce, crm","
trueson france
","intérim
 ",30000.0,35000.0
19,responsable,2023-01-24,evry courcouronnes,"outils, communication, marketing, git, support, web, moa, excel, salesforce, crm","
animalis
","cdi
 ",40000.0,45000.0
20,consultant,2023-01-23,plaisir,"sql, outils, saas, business intelligence, sap, power bi, tableau","
jcdecaux france
","cdi
 ",40000.0,60000.0
21,"chefcheffe de projet statistiques,data,conception outils   ",2023-01-26,paris,"sql, outils, git, bases de données, java, power bi, sql server, c#, javascript, excel","
uniformation
","cdd
 ",40000.0,45000.0
22,manager,2023-01-11,poissy,"sql, data management, git, sécurité, crm","
adsearch
","cdi
 ",50000.0,60000.0
23,data analyst,2023-01-23,nanterre,outils,"
spie batignolles
","cdi
 ",35000.0,40000.0
24,ingenieur,2023-01-04,champs sur marne,"python, sql, outils, git, bases de données, support, devops, excel, ios","
ctre scientifique technique du batiment
","cdi
 ",46000.0,50000.0
25,data scientist,2023-01-25,paris,"python, test, big data, saas, data management, scala","
polyconseil
","cdd
 ",36000.0,45000.0
26,chef de projet,2023-01-23,boulogne billancourt,"outils, support, excel","
pryam consulting
","cdi
 ",55000.0,60000.0
27,ingénieur data et intégration des données ,2023-01-25,puteaux,"sql, bases de données, web, oracle, cloud, etl","
loxam
","cdi
 ",41000.0,43000.0
28,cloud data architect  ,2023-01-19,paris,"outils, communication, support, web, cloud, devops, sécurité","
dcube
","cdi
 ",50000.0,55000.0
29,cloud data architect  ,2023-01-19,paris,"outils, communication, support, web, cloud, devops, sécurité","
dcube
","cdi
 ",50000.0,55000.0
30,data analyst,2023-01-26,ile de france,"python, sql, agile, test, big data, recette, outils, validation, cloud, tableau, php","
tsm consulting
","cdi
 ",30000.0,34000.0
31,data scientist,2023-01-25,puteaux,"sql, outils, etl","
data swing
","cdi
 ",45000.0,55000.0
32,global product owner data analytics ,2023-01-25,chatillon,"agile, test, recette, sécurité","
axa partners holding sa
","cdd
 ",60000.0,70000.0
33,data analyst,2023-01-19,chatillon,"sql, test, big data, nosql, git, sas, power bi, cloud, tableau, devops, spark","
axa partners holding sa
","cdi
 ",40000.0,50000.0
34,data analyst,2023-01-25,ile de france,"python, agile, test, big data, outils, scrum, etl, spark","
sas k-lagan france
","cdd
 ",42000.0,60000.0
