Intitulé du poste,Date de publication,lieu,competences,Nom de la société,Type de contrat,Salaire minimum,Salaire maximum,origine
data analyst,2022-12-25,paris,"sql,t-sql,outils",sept lieues sas,cdi,,,patrick
data analyst,2022-12-15,la defense,"support,outils,agile,design,big data",edf france,cdi,,,patrick
data analyst,2022-12-19,paris,"crm,data quality,sql,sas,python",hermes,cdi,,,patrick
data analyst,2022-12-25,moussy le vieux,"si,support,sap",tereos,cdi,,,patrick
data analyst,2023-01-12,france,"outils,support,decisionnel,sql,test",safran-group,cdi,,,patrick
data analyst,2022-12-31,maisons alfort,"support,sql,data management,business objects,t-sql",fed it,cdd/interim,45000.0,50000.0,patrick
data analyst,2022-12-18,paris,"cloud,paas,qlik,iaas,support",cegid,cdi,,,patrick
data analyst,2022-12-15,paris,"data management,business intelligence,bases de donnees",fed it,cdi,60000.0,62000.0,patrick
data analyst,2023-01-15,paris,"crm,agile,decisionnel,reseaux,reseau",credit agricole,cdi,,,patrick
data analyst,2023-01-02,rueil malmaison,"big data,scrum,intelligence artificielle,electronique,maintenance",vinci,stage,,,patrick
data analyst,2023-01-02,paris,"mobile,marketing,outils,t-sql,sql",paris&co,cdi,,,patrick
responsable,2023-01-01,la defense,"sas,telephonie,serveur,communication",societe generale,cdi,,,patrick
ingenieur,2023-01-12,suresnes,"digital,outils,cloud,webmarketing,marketing",fyte,cdi,,,patrick
data analyst,2023-01-01,saint ouen,"outils,marketing,digital,machine learning,python",groupe engie,cdi,,,patrick
data scientist,2022-12-18,rueil malmaison,"marketing,data management,support",fed it,cdi,60000.0,65000.0,patrick
ingenieur,2023-01-06,puteaux,"securite,securite,si,reseau,outils",i-tracing,cdi,,,patrick
consultant,2023-01-13,paris,"big data,oracle,cloud,sap,python",selescope,,60000.0,70000.0,patrick
ingenieur,2023-01-13,paris,"big data,python,support,intelligence artificielle,hadoop",banque de france,cdi,,,patrick
manager,2023-01-01,fontenay sous bois,"data quality,marketing",societe generale,cdi,,,patrick
chef de projet,2023-01-10,gennevilliers,"marketing,outils,digital,ux,mobile",hays france,cdi,60000.0,70000.0,patrick
ingenieur,2022-12-24,paris,"scala,data quality,edge,python,big data",paris&co,cdi,,,patrick
responsable,2023-01-15,boulogne billancourt,"si,data management,data quality,methodologie,outils",michael page,cdi,55000.0,60000.0,patrick
ingenieur,2022-12-21,saint germain en laye,"big data,bases de donnees,nosql,systeme,decisionnel",trimane,stage,,,patrick
stage,2022-12-25,saint germain en laye,"big data,business intelligence,machine learning,outils,nosql",trimane,stage,,,patrick
ingenieur,2022-12-17,suresnes,"business intelligence,crm,intelligence artificielle,systeme,reseau",selescope,,70000.0,100000.0,patrick
developpeur,2022-12-27,suresnes,"intelligence artificielle,business intelligence,crm,systeme,reseau",selescope,,70000.0,100000.0,patrick
data analyst,2023-01-14,la defense,"si,multimedia,acquisition,telecoms",modis,cdi,,,patrick
ingenieur,2022-12-15,la defense,"outils,big data,python,devops,agile",edf france,cdi,,,patrick
data analyst,2023-01-14,rueil malmaison,"business intelligence,marketing,intelligence artificielle",fed it,cdi,35000.0,45000.0,patrick
ingenieur,2023-01-10,ile de france,"big data,intelligence artificielle,nosql,python,hadoop",direct energie,stage,,,patrick
manager,2023-01-01,paris,"seo,communication,network,access,rails",careerbuilder.com,cdi,,,patrick
technicien,2023-01-02,ile de france,"support,wan,windows,outils,exchange",umanis,cdi,,,patrick
investor relations professional,2023-01-06,rueil malmaison,"communication,support,database,crm,access",societe generale,cdi,,,patrick
data analyst,2022-12-24,ile de france,"agile,si,support,devops,sql",societe generale,cdi,,,patrick
alternance,2022-12-25,la defense,"outils,big data,si,reseau,securite",edf france,contrat de professionnalisation,,,patrick
data scientist,2023-01-06,val de marne,"hadoop,machine learning,outils,bases de donnees,sql",societe generale,cdi,,,patrick
data scientist,2022-12-24,paris,"sql,python,scala,t-sql,edge",paris&co,cdi,,,patrick
data scientist,2022-12-24,paris,"sql,python,scala,t-sql,edge",paris&co,cdi,,,patrick
data scientist,2022-12-17,paris,"machine learning,methodologie,agile",key consulting,cdi,45000.0,70000.0,patrick
stage,2023-01-14,la defense,"outils,perl,vba,test,data management",societe generale,cdi,,,patrick
data analyst,2023-01-08,massy,"digital,outils,e-commerce,marketing,internet",carrefour,cdi,,,patrick
manager,2022-12-24,fontenay sous bois,"data quality,big data,devops,flex,decisionnel",societe generale,cdi,,,patrick
ingenieur,2023-01-13,paris,"securite,securite,blockchain,devops,design",cap fi technology,cdi,,,patrick
